ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7334,0.5526315789473684,0.5,1.0,0.6666666666666666
01,source,0.7123999999999999,0.5178947368421053,0.5,1.0,0.6666666666666666
02,source,0.875,0.7078947368421054,0.5,1.0,0.6666666666666666
00,target,0.5838,0.5178947368421053,0.5,1.0,0.6666666666666666
01,target,0.7068000000000001,0.511578947368421,0.5,1.0,0.6666666666666666
02,target,0.6911999999999999,0.5768421052631579,0.5,1.0,0.6666666666666666
arithmetic mean,,0.7171000000000002,0.5641228070175439,0.5,1.0,0.6666666666666666
harmonic mean,,0.7071654533755528,0.5569861339436607,0.5,1.0,0.6666666666666666

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6467,0.5989473684210527,0.5,1.0,0.6666666666666666
01,source,0.7095999999999999,0.5947368421052631,0.5,1.0,0.6666666666666666
02,source,0.7702,0.47368421052631576,0.5,1.0,0.6666666666666666
00,target,0.5484,0.4968421052631579,0.5,1.0,0.6666666666666666
01,target,0.5219999999999999,0.48736842105263156,0.5,1.0,0.6666666666666666
02,target,0.6857,0.5531578947368421,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6471,0.5341228070175438,0.5,1.0,0.6666666666666666
harmonic mean,,0.634821227539433,0.5293585501667163,0.5,1.0,0.6666666666666666

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6556000000000001,0.541578947368421,0.5,1.0,0.6666666666666666
01,source,0.5944999999999999,0.5068421052631579,0.5,1.0,0.6666666666666666
02,source,0.6021,0.5184210526315789,0.5,1.0,0.6666666666666666
00,target,0.7094,0.531578947368421,0.5,1.0,0.6666666666666666
01,target,0.4902,0.48157894736842105,0.5,1.0,0.6666666666666666
02,target,0.6613,0.5615789473684211,0.5,1.0,0.6666666666666666
arithmetic mean,,0.61885,0.5235964912280701,0.5,1.0,0.6666666666666666
harmonic mean,,0.6103727721778281,0.5223399440177257,0.5,1.0,0.6666666666666666

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5845177045177046,0.5388471177944862,0.35,1.0,0.5185185185185185
01,source,0.7914094650205761,0.5605010468558227,0.5,1.0,0.6666666666666666
02,source,0.6366076221148684,0.5176144871034268,0.5609756097560976,1.0,0.71875
00,target,0.8055555555555556,0.5830287524366472,0.5294117647058824,1.0,0.6923076923076924
01,target,0.8172153635116599,0.5807161937766226,0.5,1.0,0.6666666666666666
02,target,0.6973015873015872,0.5568086883876358,0.5333333333333333,1.0,0.6956521739130436
arithmetic mean,,0.7221012163369919,0.5562527143924402,0.4956201179658855,1.0,0.6597602863454313
harmonic mean,,0.710533964374321,0.5552977784996523,0.4837289526578246,1.0,0.6520449058991727

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6433000000000001,0.5857894736842105,0.5,1.0,0.6666666666666666
01,source,0.9154,0.6878947368421052,0.5,1.0,0.6666666666666666
02,source,0.6598,0.5647368421052632,0.5,1.0,0.6666666666666666
00,target,0.5433,0.5026315789473684,0.5,1.0,0.6666666666666666
01,target,0.5673,0.5042105263157894,0.5,1.0,0.6666666666666666
02,target,0.6543000000000001,0.5042105263157894,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6639,0.5582456140350877,0.5,1.0,0.6666666666666666
harmonic mean,,0.6455635883646389,0.551082052690053,0.5,1.0,0.6666666666666666

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8130000000000001,0.5515789473684211,0.5,1.0,0.6666666666666666
01,source,0.9123,0.7426315789473684,0.5,1.0,0.6666666666666666
02,source,0.8129233511586452,0.6594427244582044,0.4811320754716981,1.0,0.6496815286624203
00,target,0.6105,0.5521052631578948,0.5,1.0,0.6666666666666666
01,target,0.5905102040816326,0.5394199785177229,0.5050505050505051,1.0,0.6711409395973155
02,target,0.5118223760092272,0.5098039215686274,0.5,1.0,0.6666666666666666
arithmetic mean,,0.7085093218749176,0.5924970690030399,0.4976970967537005,1.0,0.6645815224877337
harmonic mean,,0.6786158455191681,0.5823771449496783,0.4975771569807148,1.0,0.6645095441811982

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5644,0.5042105263157894,0.5,1.0,0.6666666666666666
01,source,0.6066999999999999,0.4942105263157895,0.5,1.0,0.6666666666666666
02,source,0.6482,0.5294736842105263,0.5,1.0,0.6666666666666666
00,target,0.4929,0.48526315789473684,0.5,1.0,0.6666666666666666
01,target,0.5740000000000001,0.5615789473684211,0.5,1.0,0.6666666666666666
02,target,0.5398999999999999,0.49315789473684213,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5710166666666667,0.5113157894736842,0.5,1.0,0.6666666666666666
harmonic mean,,0.5667888871521615,0.5100056780020551,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6640824578397965,0.548593327452487,0.4990453163885123,1.0,0.6653821631666429
"harmonic mean over all machine types, sections, and domains",,0.6468290142460986,0.5429627884682023,0.4972646194658283,1.0,0.6642307752429693

