ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6335,0.511578947368421,0.5,1.0,0.6666666666666666
01,source,0.6173,0.5157894736842106,0.5,1.0,0.6666666666666666
02,source,0.7716999999999999,0.56,0.5,1.0,0.6666666666666666
00,target,0.5465,0.5005263157894737,0.5,1.0,0.6666666666666666
01,target,0.6526000000000001,0.511578947368421,0.5,1.0,0.6666666666666666
02,target,0.6687,0.5531578947368421,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6483833333333333,0.525438596491228,0.5,1.0,0.6666666666666666
harmonic mean,,0.641578969553998,0.5244913939934144,0.5,1.0,0.6666666666666666

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.751,0.7105263157894737,0.5,1.0,0.6666666666666666
01,source,0.6863,0.6073684210526316,0.5,1.0,0.6666666666666666
02,source,0.7369,0.4747368421052631,0.5,1.0,0.6666666666666666
00,target,0.5702,0.4805263157894737,0.5,1.0,0.6666666666666666
01,target,0.4948,0.48368421052631577,0.5,1.0,0.6666666666666666
02,target,0.6198,0.5294736842105263,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6431666666666667,0.547719298245614,0.5,1.0,0.6666666666666666
harmonic mean,,0.6293335001743835,0.5358353840727428,0.5,1.0,0.6666666666666666

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6779,0.57,0.5,1.0,0.6666666666666666
01,source,0.6843,0.5157894736842106,0.5,1.0,0.6666666666666666
02,source,0.6682,0.5421052631578948,0.5,1.0,0.6666666666666666
00,target,0.7016000000000001,0.5547368421052632,0.5,1.0,0.6666666666666666
01,target,0.5256,0.48210526315789476,0.5,1.0,0.6666666666666666
02,target,0.6676,0.57,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6542,0.5391228070175439,0.5,1.0,0.6666666666666666
harmonic mean,,0.6480284238329685,0.5371963726843851,0.5,1.0,0.6666666666666666

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5565811965811966,0.5092860356018251,0.35,1.0,0.5185185185185185
01,source,0.6974451303155007,0.515287704858855,0.5,1.0,0.6666666666666666
02,source,0.5766908212560387,0.5187445263722914,0.5609756097560976,1.0,0.71875
00,target,0.7137345679012347,0.5452607212475633,0.5294117647058824,1.0,0.6923076923076924
01,target,0.6712105624142661,0.5069850552306693,0.5,1.0,0.6666666666666666
02,target,0.6512698412698413,0.5304928989139516,0.5333333333333333,1.0,0.6956521739130436
arithmetic mean,,0.6444886866230131,0.5210094903708592,0.4956201179658855,1.0,0.6597602863454313
harmonic mean,,0.638915894786903,0.5206798025446688,0.4837289526578246,1.0,0.6520449058991727

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6668000000000001,0.6,0.5,1.0,0.6666666666666666
01,source,0.8066,0.5826315789473684,0.5,1.0,0.6666666666666666
02,source,0.6494,0.5578947368421052,0.5,1.0,0.6666666666666666
00,target,0.5938,0.5157894736842106,0.5,1.0,0.6666666666666666
01,target,0.4875,0.5026315789473684,0.5,1.0,0.6666666666666666
02,target,0.6205,0.5263157894736842,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6374333333333332,0.5475438596491228,0.5,1.0,0.6666666666666666
harmonic mean,,0.6232918415904268,0.5452674542914369,0.5,1.0,0.6666666666666666

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7424,0.5278947368421053,0.5,1.0,0.6666666666666666
01,source,0.8234,0.608421052631579,0.5,1.0,0.6666666666666666
02,source,0.7846702317290553,0.6617881602401726,0.4811320754716981,1.0,0.6496815286624203
00,target,0.6827000000000001,0.5742105263157895,0.5,1.0,0.6666666666666666
01,target,0.6729591836734693,0.5302900107411386,0.5050505050505051,1.0,0.6711409395973155
02,target,0.46895424836601307,0.4968534369372104,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6958472772947563,0.5665763206179992,0.4976970967537005,1.0,0.6645815224877337
harmonic mean,,0.6727188438539453,0.5613288590071077,0.4975771569807148,1.0,0.6645095441811982

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5128999999999999,0.5089473684210526,0.5,1.0,0.6666666666666666
01,source,0.5424,0.4894736842105263,0.5,1.0,0.6666666666666666
02,source,0.6230000000000001,0.5231578947368422,0.5,1.0,0.6666666666666666
00,target,0.4822000000000001,0.48894736842105263,0.5,1.0,0.6666666666666666
01,target,0.5805,0.5442105263157895,0.5,1.0,0.6666666666666666
02,target,0.5488,0.4884210526315789,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5483000000000001,0.5071929824561403,0.5,1.0,0.6666666666666666
harmonic mean,,0.5446064121935099,0.5063518826588227,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.638831328178729,0.5363719078355009,0.4990453163885123,1.0,0.6653821631666429
"harmonic mean over all machine types, sections, and domains",,0.6259495959894517,0.5325098380122282,0.4972646194658283,1.0,0.6642307752429693

